Date,Product_A,Product_B,Product_C,Product_D,Month_Name,Month_Number,Quarter,Total_Sales,Average_Sales,Month_over_Month_Growth
2025-01-01,88,34,40,21,January,1,Q1,183,45.75,
2025-02-01,78,30,55,40,February,2,Q1,203,50.75,10.92896174863387
2025-03-01,64,79,23,13,March,3,Q1,179,44.75,-11.822660098522164
2025-04-01,92,51,52,42,April,4,Q2,237,59.25,32.402234636871505
2025-05-01,57,46,40,41,May,5,Q2,184,46.0,-22.36286919831224
2025-06-01,70,47,23,31,June,6,Q2,171,42.75,-7.065217391304346
2025-07-01,88,57,43,45,July,7,Q3,233,58.25,36.257309941520475
2025-08-01,68,32,42,14,August,8,Q3,156,39.0,-33.047210300429185
2025-09-01,72,76,45,25,September,9,Q3,218,54.5,39.74358974358974
2025-10-01,60,60,23,11,October,10,Q4,154,38.5,-29.357798165137616
2025-11-01,60,53,27,24,November,11,Q4,164,41.0,6.493506493506485
2025-12-01,73,30,23,18,December,12,Q4,144,36.0,-12.195121951219512
